link;title;year count;mean;median;mode; mode frequency;standard deviation;1st Quartile;3rd Quartile;IQR;minimum value;maximum value;filter min;filter max
https://plato.stanford.edu/entries/medieval-syllogism/;Medieval Theories of the Syllogism ;176;1943;1996;2000;16;179;1980;2003;23;1200;2016;1200;2020
https://plato.stanford.edu/entries/sylvan-routley/;Richard Sylvan [Routley] ;555;1989;1987;1980;69;31;1979;2005;26;1413;2020;1200;2020
https://plato.stanford.edu/entries/syrianus/;Syrianus ;59;1961;1987;XXXX;XXXX;90;1966;2004;38;1558;2019;1200;2020
https://plato.stanford.edu/entries/systems-synthetic-biology/;Philosophy of Systems and Synthetic Biology ;740;2003;2011;2013;83;58;2007;2014;7;1250;2017;1200;2020
https://plato.stanford.edu/entries/tarski/;Alfred Tarski ;389;1986;1996;1983;50;30;1983;2005;22;1701;2019;1200;2020
https://plato.stanford.edu/entries/tarski-truth/;Tarski's Truth Definitions ;75;1956;1946;1933;22;28;1933;1975;42;1919;2018;1200;2020
https://plato.stanford.edu/entries/taurellus/;Nicolaus Taurellus ;140;1771;1718;1611;7;193;1596;1988;392;1510;2020;1200;2020
https://plato.stanford.edu/entries/technology/;Philosophy of Technology ;425;1985;2001;2009;30;59;1982;2009;27;1396;2018;1200;2020
https://plato.stanford.edu/entries/teleological-arguments/;Teleological Arguments for God's Existence ;141;1970;1998;2014;10;71;1982;2009;27;1685;2020;1200;2020
https://plato.stanford.edu/entries/teleology-biology/;Teleological Notions in Biology ;224;1979;1993;1994;13;52;1975;2004;29;1616;2020;1200;2020
https://plato.stanford.edu/entries/telesio/;Bernardino Telesio ;142;1905;1990;1992;13;175;1954;2011;57;1509;2018;1200;2020
https://plato.stanford.edu/entries/temporal-parts/;Temporal Parts ;959;2002;2004;2003;50;28;1997;2011;14;1224;2020;1200;2020
https://plato.stanford.edu/entries/tense-aspect/;Tense and Aspect ;202;1995;1999;2005;19;17;1988;2007;19;1914;2018;1200;2020
https://plato.stanford.edu/entries/medieval-terms/;Medieval Theories: Properties of Terms ;46;1951;1986;2010;6;157;1972;2010;38;1240;2019;1200;2020
https://plato.stanford.edu/entries/territorial-rights/;Territorial Rights and Territorial Justice ;174;1956;2011;2012;21;126;1992;2015;23;1583;2020;1200;2020
https://plato.stanford.edu/entries/terrorism/;Terrorism ;160;1989;2004;2004;16;46;1989;2007;18;1696;2018;1200;2020
https://plato.stanford.edu/entries/testimony-episprob/;Epistemological Problems of Testimony ;610;1989;1996;1994;47;45;1990;2004;14;1535;2019;1200;2020
https://plato.stanford.edu/entries/theater/;Philosophy of Theater ;418;1982;1994;2013;27;64;1977;2009;32;1279;2019;1200;2020
https://plato.stanford.edu/entries/natural-theology/;Natural Theology and Natural Religion ;267;1918;1998;2003;15;143;1802;2009;207;1385;2020;1200;2020
https://plato.stanford.edu/entries/theology-aristotle/;The Theology of Aristotle ;114;1987;1997;1986;12;35;1976;2007;31;1696;2017;1200;2020
https://plato.stanford.edu/entries/theophrastus/;Theophrastus ;315;1979;1992;1985;43;84;1985;2004;19;1278;2020;1200;2020
